"OOB","Apparently Healthy","Disease Lesion","Diseased Unaffected","Naive"
0.625,0.941176470588235,0.3,0.625,0.461538461538462
0.5125,0.695652173913043,0.368421052631579,0.466666666666667,0.478260869565217
0.535353535353535,0.642857142857143,0.260869565217391,0.571428571428571,0.62962962962963
0.578947368421053,0.666666666666667,0.269230769230769,0.708333333333333,0.645161290322581
0.491935483870968,0.542857142857143,0.2,0.72,0.529411764705882
0.5,0.473684210526316,0.2,0.72,0.628571428571429
0.484615384615385,0.552631578947368,0.2,0.615384615384615,0.555555555555556
0.477272727272727,0.564102564102564,0.233333333333333,0.666666666666667,0.444444444444444
0.473684210526316,0.538461538461538,0.2,0.678571428571429,0.472222222222222
0.473684210526316,0.641025641025641,0.2,0.571428571428571,0.444444444444444
0.421052631578947,0.487179487179487,0.166666666666667,0.571428571428571,0.444444444444444
0.421052631578947,0.538461538461538,0.2,0.642857142857143,0.305555555555556
0.451127819548872,0.564102564102564,0.233333333333333,0.678571428571429,0.333333333333333
0.458646616541353,0.512820512820513,0.233333333333333,0.642857142857143,0.444444444444444
0.428571428571429,0.512820512820513,0.2,0.642857142857143,0.361111111111111
0.443609022556391,0.512820512820513,0.2,0.75,0.333333333333333
0.421052631578947,0.538461538461538,0.166666666666667,0.642857142857143,0.333333333333333
0.406015037593985,0.461538461538462,0.166666666666667,0.714285714285714,0.305555555555556
0.398496240601504,0.461538461538462,0.133333333333333,0.714285714285714,0.305555555555556
0.413533834586466,0.512820512820513,0.133333333333333,0.75,0.277777777777778
0.398496240601504,0.512820512820513,0.133333333333333,0.678571428571429,0.277777777777778
0.428571428571429,0.487179487179487,0.133333333333333,0.821428571428571,0.305555555555556
0.406015037593985,0.461538461538462,0.1,0.785714285714286,0.305555555555556
0.428571428571429,0.487179487179487,0.166666666666667,0.785714285714286,0.305555555555556
0.390977443609023,0.435897435897436,0.133333333333333,0.785714285714286,0.25
