"HOG_ID"	"Pathway"	"Correlation"	"p_value"	"p_adj"
"73"	"OG_Cluster_24"	"Pathway_Cluster_12"	0.8	0.225403330758516	0.659717065634682
"74"	"OG_Cluster_24"	"Pathway_Cluster_19"	-0.8	0.225403330758516	0.659717065634682
"75"	"OG_Cluster_6"	"Pathway_Cluster_5"	0.8	0.4	0.813559322033898
"76"	"OG_Cluster_10"	"Pathway_Cluster_2"	0.8	0.4	0.813559322033898
"77"	"OG_Cluster_10"	"Pathway_Cluster_14"	-0.8	0.4	0.813559322033898
"78"	"OG_Cluster_11"	"Pathway_Cluster_17"	-0.8	0.4	0.813559322033898
"79"	"OG_Cluster_12"	"Pathway_Cluster_9"	0.8	0.4	0.813559322033898
"80"	"OG_Cluster_22"	"Pathway_Cluster_10"	0.8	0.4	0.813559322033898
"81"	"OG_Cluster_22"	"Pathway_Cluster_13"	-0.8	0.4	0.813559322033898
"82"	"OG_Cluster_2"	"Pathway_Cluster_3"	0.8	0.6	0.813559322033898
"83"	"OG_Cluster_2"	"Pathway_Cluster_15"	-0.8	0.6	0.813559322033898
"84"	"OG_Cluster_3"	"Pathway_Cluster_19"	0.8	0.6	0.813559322033898
"85"	"OG_Cluster_5"	"Pathway_Cluster_5"	-0.8	0.6	0.813559322033898
"86"	"OG_Cluster_6"	"Pathway_Cluster_9"	0.8	0.6	0.813559322033898
"87"	"OG_Cluster_6"	"Pathway_Cluster_16"	-0.8	0.6	0.813559322033898
"88"	"OG_Cluster_7"	"Pathway_Cluster_6"	0.8	0.6	0.813559322033898
"89"	"OG_Cluster_7"	"Pathway_Cluster_14"	-0.8	0.6	0.813559322033898
"90"	"OG_Cluster_9"	"Pathway_Cluster_1"	-0.8	0.6	0.813559322033898
"91"	"OG_Cluster_12"	"Pathway_Cluster_4"	-0.8	0.6	0.813559322033898
"92"	"OG_Cluster_12"	"Pathway_Cluster_11"	0.8	0.6	0.813559322033898
"93"	"OG_Cluster_12"	"Pathway_Cluster_12"	-0.8	0.6	0.813559322033898
"94"	"OG_Cluster_12"	"Pathway_Cluster_13"	-0.8	0.6	0.813559322033898
"95"	"OG_Cluster_20"	"Pathway_Cluster_14"	0.8	0.6	0.813559322033898
"96"	"OG_Cluster_1"	"Pathway_Cluster_18"	-0.8	0.6	0.813559322033898
"97"	"OG_Cluster_3"	"Pathway_Cluster_12"	-0.8	0.6	0.813559322033898
"98"	"OG_Cluster_4"	"Pathway_Cluster_11"	0.8	0.6	0.813559322033898
"99"	"OG_Cluster_5"	"Pathway_Cluster_9"	-0.8	0.6	0.813559322033898
"100"	"OG_Cluster_5"	"Pathway_Cluster_12"	0.8	0.6	0.813559322033898
"101"	"OG_Cluster_6"	"Pathway_Cluster_12"	-0.8	0.6	0.813559322033898
"102"	"OG_Cluster_7"	"Pathway_Cluster_18"	-0.8	0.6	0.813559322033898
"103"	"OG_Cluster_8"	"Pathway_Cluster_3"	0.8	0.6	0.813559322033898
"104"	"OG_Cluster_8"	"Pathway_Cluster_6"	-0.8	0.6	0.813559322033898
"105"	"OG_Cluster_11"	"Pathway_Cluster_5"	-0.8	0.6	0.813559322033898
"106"	"OG_Cluster_11"	"Pathway_Cluster_13"	0.8	0.6	0.813559322033898
"107"	"OG_Cluster_12"	"Pathway_Cluster_5"	0.8	0.6	0.813559322033898
"108"	"OG_Cluster_13"	"Pathway_Cluster_8"	-0.8	0.6	0.813559322033898
"109"	"OG_Cluster_14"	"Pathway_Cluster_11"	-0.8	0.6	0.813559322033898
"110"	"OG_Cluster_14"	"Pathway_Cluster_19"	0.8	0.6	0.813559322033898
"111"	"OG_Cluster_16"	"Pathway_Cluster_1"	0.8	0.6	0.813559322033898
"112"	"OG_Cluster_16"	"Pathway_Cluster_8"	0.8	0.6	0.813559322033898
"113"	"OG_Cluster_17"	"Pathway_Cluster_3"	-0.8	0.6	0.813559322033898
"114"	"OG_Cluster_19"	"Pathway_Cluster_9"	-0.8	0.6	0.813559322033898
"115"	"OG_Cluster_19"	"Pathway_Cluster_13"	0.8	0.6	0.813559322033898
"116"	"OG_Cluster_20"	"Pathway_Cluster_6"	-0.8	0.6	0.813559322033898
"117"	"OG_Cluster_21"	"Pathway_Cluster_14"	-0.8	0.6	0.813559322033898
"118"	"OG_Cluster_23"	"Pathway_Cluster_7"	-0.8	0.6	0.813559322033898
"119"	"OG_Cluster_24"	"Pathway_Cluster_9"	-0.8	0.741801110252839	0.868778280542986
"120"	"OG_Cluster_24"	"Pathway_Cluster_17"	0.8	0.741801110252839	0.868778280542986
"121"	"OG_Cluster_3"	"Pathway_Cluster_9"	0.8	0.8	0.868778280542986
"122"	"OG_Cluster_5"	"Pathway_Cluster_16"	0.8	0.8	0.868778280542986
"123"	"OG_Cluster_7"	"Pathway_Cluster_15"	-0.8	0.8	0.868778280542986
"124"	"OG_Cluster_8"	"Pathway_Cluster_1"	0.8	0.8	0.868778280542986
"125"	"OG_Cluster_9"	"Pathway_Cluster_6"	0.8	0.8	0.868778280542986
"126"	"OG_Cluster_11"	"Pathway_Cluster_10"	-0.8	0.8	0.868778280542986
"127"	"OG_Cluster_14"	"Pathway_Cluster_4"	0.8	0.8	0.868778280542986
"128"	"OG_Cluster_15"	"Pathway_Cluster_2"	-0.8	0.8	0.868778280542986
"129"	"OG_Cluster_16"	"Pathway_Cluster_2"	-0.8	0.8	0.868778280542986
"130"	"OG_Cluster_16"	"Pathway_Cluster_14"	0.8	0.8	0.868778280542986
